"CD_MATCH","MOMENTUM","nb_momentums","GAGNE","ECART_POINTS"
"FR-1-H_32_47_5833","FR_CSMBHB_73000",6,TRUE,1
"FR-1-H_32_47_5834","FR_IPHB_13806",7,TRUE,2
"FR-1-H_32_47_5834","FR_USIHB_94200",5,FALSE,-2
"FR-1-H_32_47_5835","FR_LHB_87000",3,FALSE,-1
"FR-1-H_32_47_5835","FR_CRMHB_35510",3,TRUE,1
"FR-1-H_32_47_5836","FR_HBCN_44200",11,TRUE,16
"FR-1-H_32_47_5836","FR_DHBGL_59140",2,FALSE,-16
"FR-1-H_32_47_5837","FR_PSGHB_75016",8,TRUE,4
"FR-1-H_32_47_5837","FR_MHB_34000",5,FALSE,-4
"FR-1-H_32_47_5838","FR_SRVHB_83700",5,FALSE,-5
"FR-1-H_32_47_5838","FR_USAMNG_30918",9,TRUE,5
"FR-1-H_32_47_5839","FR_TFHB_93290",4,FALSE,-6
"FR-1-H_32_47_5839","FR_FTHB_31000",5,TRUE,6
"FR-1-H_32_48_5840","FR_CSMBHB_73000",7,TRUE,8
"FR-1-H_32_48_5840","FR_IPHB_13806",4,FALSE,-8
"FR-1-H_32_48_5841","FR_USCHB_94000",5,TRUE,2
"FR-1-H_32_48_5841","FR_LHB_87000",3,FALSE,-2
"FR-1-H_32_48_5842","FR_DHBGL_59140",6,FALSE,-1
"FR-1-H_32_48_5842","FR_CCMHB_28000",5,TRUE,1
"FR-1-H_32_48_5843","FR_USIHB_94200",4,NA,0
"FR-1-H_32_48_5843","FR_PAUC_13100",7,NA,0
"FR-1-H_32_48_5844","FR_MHB_34000",7,TRUE,11
"FR-1-H_32_48_5844","FR_TFHB_93290",5,FALSE,-11
"FR-1-H_32_48_5845","FR_USAMNG_30918",8,TRUE,3
"FR-1-H_32_48_5845","FR_CRMHB_35510",7,FALSE,-3
"FR-1-H_32_48_5846","FR_PSGHB_75016",7,FALSE,-2
"FR-1-H_32_48_5846","FR_HBCN_44200",6,TRUE,2
"FR-1-H_32_48_5847","FR_FTHB_31000",7,TRUE,5
"FR-1-H_32_48_5847","FR_SRVHB_83700",6,FALSE,-5
